,locator_address,coord
139,"2870 ocean drive (mile post 56), raymond, washington 98577 Raymond WA 98577","(46.67555097896951, -123.71325288658356)"
140,"5021 mud bay rd nw, olympia, wa 98502 Olympia WA 98502","(47.1131042806811, -122.93188091177248)"
141,"6020 pacific ave se ste m, lacey, wa 98503 Lacey WA 98503","(47.037505372224786, -122.80192553594097)"
142,"medical delivery only, vancouver, wa 98661 Vancouver WA 98661","(45.63754405764946, -122.63391088033092)"
143,"delivery only, vancouver, wa 98661 Vancouver WA 98661","(45.63754405764946, -122.63391088033092)"
144,"4701 roosevelt way ne suite b, seattle, wa 98105 Seattle WA 98105","(47.6633074, -122.3177243)"
145,"14806 pacific avenue south suite c, tacoma, wa 98444 Tacoma WA 98444","(47.123487697986576, -122.43497604026845)"
146,"3833 pacific ave suite c, tacoma, wa 98418 Tacoma WA 98418","(47.221817400000006, -122.43345249999999)"
147,"136 stewart road, pacific, wa 98047 Pacific WA 98047","(-34.47077845, -58.71807635314515)"
148,"14040 aurora ave. north, seattle, wa 98133 Seattle WA 98133","(47.7317082, -122.344671)"
149,"3867 rainier ave south, seattle, wa 98118 Seattle WA 98118","(47.568107049999995, -122.28969149725876)"
150,"10861 1st ave s, seattle, wa 98168 Seattle WA 98168","(47.5050878, -122.3339432)"
151,"5917 n. 26 st suite a, tacoma, washington 98407 Tacoma WA 98407","(47.279019784876034, -122.50541334388407)"
152,"4811 n. market, spokane, wa 99217 Spokane WA 99217","(47.70454335091529, -117.36691366336947)"
153,"4707 aurora ave n, seattle, wa 98103 Seattle WA 98103","(47.6631977, -122.3476046)"
154,"2210 black lake blvd. sw suite # g-1`, olympia, wa 98512 Olympia WA 98512","(47.0280132711232, -122.94896908381999)"
155,"1800 cooper point rd. sw bldg. #2, olympia, wa 98502 Olympia WA 98502","(47.1131042806811, -122.93188091177248)"
156,"32201 kent black diamond rd unit#4, auburn, wa 98092 Auburn WA 98092","(47.293919099038334, -122.17112030266307)"
157,"9300 kimmie rd sw, olympia, wa 98512 Olympia WA 98512","(47.01008369854929, -122.92665545865495)"
158,"delivery only, battle ground, wa 98604 Battle ground WA 98604","(45.788767542614046, -122.54084413984646)"
159,"delivery only, brush prairie, wa 98606 Brush prairie WA 98606","(45.74049048345654, -122.51760224832088)"
160,"delivery only, camas, wa 98607 Camas WA 98607","(45.58990284632299, -122.41144450626052)"
161,"delivery only, cascade park east, wa 98683 Cascade park east WA 98683","(45.610347242273285, -122.50616319245927)"
162,"delivery only, felida, wa 98685 Felida WA 98685","(45.70691376191553, -122.69657996891601)"
163,"delivery only, hazel dell, wa 98665 Hazel dell WA 98665","(45.68492405562117, -122.65315889095695)"
164,"delivery only, lake shore, wa 98665 Lake shore WA 98665","(45.68492405562117, -122.65315889095695)"
165,"delivery only, mill plain, wa 98683 Mill plain WA 98683","(45.610347242273285, -122.50616319245927)"
166,"delivery only, orchards, wa 98662 Orchards WA 98662","(45.6656040250539, -122.57687915382277)"
167,"delivery only, salmon creek, wa 98686 Salmon creek WA 98686","(45.712717960223166, -122.6265168824602)"
168,"delivery only, vancouver, wa 98662 Vancouver WA 98662","(45.6656040250539, -122.57687915382277)"
169,"234 division st., olympia, washington 98502 Olympia WA 98502","(47.04652848979592, -122.92573820408163)"
170,"20639 b old hwy 99 sw, centralia, wa 98531 Centralia WA 98531","(46.77283187364462, -122.99069734861841)"
171,"3700 ne 4th st. unit #201, renton, wa 98056 Renton WA 98056","(47.4888542, -122.16933)"
172,"1965 4th ave e, olympia, washington 98506 Olympia WA 98506","(47.04596317241379, -122.8737110689655)"
