County,MHI_5y,MHI_white_5y,MHI_black_5y,MHI_am_indian_5y,MHI_asian_5y,MHI_haw_pac_5y,MHI_other_5y,MHI_two_plus_5y,MHI_hispanic_5y,MHI_white_not_hispanic_5y,population_5y,population_21plus_5y,male_percent_5y,female_percent_5y,age_median_5y,age_21_over_5y,age_18_over_5y,age_20_to_24_5y,age_25_to_34_5y,age_35_to_44_5y,age_45_to_54_5y,age_55_to_59_5y,age_60_to_64_5y,age_65_over_5y,white_5y,black_5y,am_indian_5y,asian_5y,haw_pac_5y,other_race_5y,hisp_5y,white_not_hisp_5y,MHI_1y,MHI_white_1y,MHI_black_1y,MHI_am_indian_1y,MHI_asian_1y,MHI_haw_pac_1y,MHI_other_1y,MHI_two_plus_1y,MHI_hispanic_1y,MHI_white_not_hispanic_1y,population_1y,population_21plus_1y,male_percent_1y,female_percent_1y,age_median_1y,age_21_over_1y,age_18_over_1y,age_20_to_24_1y,age_25_to_34_1y,age_35_to_44_1y,age_45_to_54_1y,age_55_to_59_1y,age_60_to_64_1y,age_65_over_1y,white_1y,black_1y,am_indian_1y,asian_1y,haw_pac_1y,other_race_1y,hisp_1y,white_not_hisp_1y,Year,Square Miles
CLARK,62879.0,64361.0,43231.0,48125.0,73577.0,57690.0,42913.0,55644.0,44578.0,65157.0,450893.0,321125.0,49.4,50.6,37.8,71.2,74.8,6.0,12.7,13.5,13.8,6.7,6.1,13.7,84.6,3.2,2.1,5.9,1.3,3.7,8.7,80.0,69062.0,70571.0,54398.0,26984.0,79042.0,48694.0,42207.0,54034.0,50254.0,71642.0,467018.0,335341.0,49.4,50.6,38.0,71.8,75.4,5.8,13.0,13.1,13.6,6.4,6.5,14.7,84.5,3.2,2.1,6.1,1.2,3.6,9.3,79.2,2017,629.0
CLARK,67832.0,68758.0,50977.0,55313.0,76628.0,66908.0,44703.0,62729.0,48960.0,69394.0,457474.0,327347.0,49.4,50.6,38.0,71.6,75.1,6.0,12.8,13.4,13.7,6.6,6.2,14.1,84.5,3.3,2.1,6.1,1.3,3.6,9.0,79.4,74747.0,73978.0,75623.0,80362.0,85259.0,72295.0,49311.0,89250.0,58231.0,75595.0,474643.0,343450.0,49.5,50.5,38.6,72.4,75.7,5.7,13.1,13.4,13.5,6.6,6.4,14.9,85.1,3.4,2.0,6.4,1.2,2.5,9.7,78.3,2018,629.0
CLARK,71636.0,72543.0,51227.0,66774.0,81923.0,62262.0,47627.0,68214.0,53643.0,73484.0,465384.0,334252.0,49.4,50.6,38.2,71.8,75.4,5.9,13.0,13.4,13.5,6.6,6.3,14.6,84.5,3.4,2.2,6.2,1.4,3.4,9.3,78.9,74060.0,73990.0,42047.0,82394.0,95384.0,53779.0,46485.0,89738.0,57602.0,75463.0,481857.0,350207.0,49.6,50.4,38.6,72.7,76.2,5.7,13.6,13.4,13.1,6.5,6.2,15.5,84.4,3.5,2.4,6.5,1.6,2.9,10.0,77.9,2019,629.0
COLUMBIA,42519.0,42746.0,,75694.0,,,16771.0,17083.0,16875.0,43197.0,4027.0,3083.0,51.3,48.7,49.2,76.6,79.7,2.8,8.5,10.2,14.3,9.4,7.6,24.3,92.1,0.4,3.0,1.1,0.0,3.7,6.3,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,868.63
COLUMBIA,41071.0,42521.0,,78047.0,,,16705.0,14821.0,17411.0,42542.0,4031.0,3069.0,50.2,49.8,49.2,76.1,80.1,3.5,8.1,10.0,14.2,9.2,7.7,24.7,92.3,0.5,3.1,1.0,0.0,3.4,6.2,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,868.63
COLUMBIA,38581.0,39696.0,,26667.0,,,,17083.0,,39865.0,3989.0,3066.0,50.3,49.7,49.5,76.9,80.8,4.0,8.9,9.7,13.1,8.9,7.8,25.6,91.8,0.9,2.5,0.8,0.9,3.4,6.4,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,868.63
COLUMBIA,42083.0,42311.0,,29167.0,,,,,,42311.0,3971.0,3104.0,49.1,50.9,49.9,78.2,81.3,4.4,8.0,10.5,13.0,8.5,8.0,26.6,90.5,1.3,2.0,1.3,0.7,4.5,6.8,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,868.63
COLUMBIA,46250.0,47050.0,,,,,,,,47450.0,3999.0,3167.0,48.9,51.1,50.0,79.2,81.3,3.4,9.0,11.0,12.9,9.0,7.4,26.9,90.9,1.0,1.8,2.5,0.8,3.4,7.4,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,868.63
COLUMBIA,51111.0,51250.0,,,,,,,,51306.0,4001.0,3176.0,48.2,51.8,49.4,79.4,80.4,3.7,9.3,11.1,12.3,7.2,8.6,27.3,91.2,1.1,2.0,2.4,0.9,2.4,7.6,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,868.63
COWLITZ,47596.0,48660.0,33458.0,31354.0,36591.0,18750.0,27578.0,27331.0,27625.0,49001.0,102110.0,74064.0,49.4,50.6,40.5,72.5,76.1,5.8,11.3,12.2,14.2,7.3,6.7,16.3,90.8,1.3,3.5,2.3,0.5,2.1,7.9,85.4,48417.0,49389.0,,23874.0,36825.0,,21150.0,,34155.0,49468.0,101860.0,74809.0,48.7,51.3,40.5,73.4,77.1,5.6,11.4,12.4,13.4,7.4,6.8,17.8,91.4,1.3,3.7,2.8,,1.4,8.2,85.0,2014,1140.12
COWLITZ,46571.0,48234.0,35357.0,28750.0,34063.0,19286.0,27833.0,30875.0,27454.0,48787.0,102072.0,74452.0,49.5,50.5,40.7,72.9,76.5,5.9,11.3,12.0,14.0,7.2,7.1,16.8,90.9,1.5,3.5,2.4,0.5,1.9,8.1,85.1,42223.0,43611.0,,31967.0,29094.0,,35330.0,32257.0,35523.0,44503.0,102133.0,75106.0,49.8,50.2,41.6,73.5,77.5,6.1,10.8,12.0,13.5,7.5,7.0,17.9,90.6,2.1,3.8,2.4,0.4,1.6,8.4,84.6,2015,1140.12
COWLITZ,47452.0,48750.0,31250.0,30784.0,40417.0,,35800.0,39615.0,31954.0,49392.0,102338.0,74901.0,49.3,50.7,41.2,73.2,76.6,5.8,11.3,11.8,13.7,7.1,7.2,17.4,90.7,1.7,3.5,2.3,0.5,1.9,8.3,84.9,49949.0,51716.0,51667.0,30522.0,,,40281.0,48269.0,28533.0,52858.0,103468.0,76922.0,49.1,50.9,42.0,74.3,77.0,5.7,12.5,11.2,13.3,7.0,7.4,18.2,90.1,1.6,3.7,2.3,,2.5,8.6,84.4,2016,1140.12
COWLITZ,49127.0,50557.0,28750.0,27391.0,38594.0,,35964.0,41033.0,30850.0,51251.0,102854.0,75569.0,49.3,50.7,41.7,73.5,76.9,5.7,11.4,11.7,13.4,7.2,7.2,18.0,90.7,1.7,3.6,2.4,0.5,1.7,8.4,84.6,50637.0,51741.0,,,95971.0,,28781.0,41959.0,38374.0,52427.0,105160.0,77793.0,48.5,51.5,42.4,74.0,77.3,5.4,11.2,11.8,13.4,6.9,7.1,19.0,90.4,1.3,3.7,2.3,0.6,2.0,8.8,84.0,2017,1140.12
COWLITZ,49804.0,51217.0,28152.0,30304.0,53371.0,,31176.0,41048.0,32247.0,51910.0,103590.0,76464.0,49.3,50.7,41.4,73.8,77.0,5.6,11.6,11.6,13.4,7.2,7.2,18.2,90.3,1.9,3.6,2.4,0.6,1.6,8.6,84.3,49456.0,49668.0,46100.0,,87660.0,,48874.0,41863.0,33326.0,50941.0,106910.0,79872.0,49.6,50.4,40.2,74.7,77.1,5.5,12.6,11.0,13.7,6.7,7.4,18.4,88.7,3.6,3.3,2.3,2.0,1.0,9.0,83.7,2018,1140.12
COWLITZ,51752.0,52993.0,45775.0,34408.0,55265.0,,38438.0,43342.0,34236.0,54293.0,105112.0,77840.0,49.4,50.6,41.5,74.1,77.1,5.6,11.8,11.6,13.1,7.1,7.3,18.5,89.4,2.0,3.9,2.3,0.7,2.2,8.8,83.8,59225.0,59874.0,67366.0,49603.0,,,50240.0,43295.0,36285.0,60682.0,108987.0,80292.0,49.2,50.8,40.5,73.7,76.7,5.2,12.3,11.4,12.5,6.3,7.6,19.1,87.5,1.7,5.5,2.3,0.6,2.9,9.2,82.9,2019,1140.12
