"Note: The report represents net sales that are self-reported by retail marijuana licensees. Information is subject to change due to late reports, corrections or audit findings. This file will be updated by approximately the 10th business day of each month.       ",,,
Last Update: 06/09/2020,,,
,,,
License Number,Reporting Period, Total Sales, Excise Tax Due 
421568,2017-11,"161,213","59,649"
421577,2017-11,"129,259","47,826"
421616,2017-11,"191,091","70,704"
421630,2017-11,"117,420","43,445"
421632,2017-11,997,369
421642,2017-11,"199,543","73,831"
421650,2017-11,"24,621","9,110"
421652,2017-11,"86,372","31,958"
421667,2017-11,"79,528","29,426"
421695,2017-11,"114,623","42,411"
421698,2017-11,"344,280","127,384"
421702,2017-11,"494,976","183,141"
421707,2017-11,"184,672","68,329"
421708,2017-11,"312,602","115,663"
421709,2017-11,"95,466","35,322"
421738,2017-11,"122,788","45,432"
421757,2017-11,"117,361","43,424"
421759,2017-11,"34,080","12,610"
421777,2017-11,"334,999","123,950"
421789,2017-11,"362,326","134,061"
421804,2017-11,"133,851","49,525"
421805,2017-11,"682,525","252,534"
421813,2017-11,"66,185","24,488"
421876,2017-11,"62,516","23,131"
421900,2017-11,"271,433","100,430"
421918,2017-11,"19,234","7,116"
422010,2017-11,"55,212","20,428"
422012,2017-11,"61,928","22,914"
422037,2017-11,"140,681","52,052"
422049,2017-11,"208,738","77,233"
422055,2017-11,"213,146","78,864"
422103,2017-11,"215,072","79,577"
422109,2017-11,"191,455","70,838"
422138,2017-11,"63,835","23,619"
422146,2017-11,"272,720","100,906"
422158,2017-11,"131,157","48,528"
422168,2017-11,"121,264","44,868"
422194,2017-11,"89,261","33,027"
422202,2017-11,"60,358","22,332"
422218,2017-11,"621,086","229,802"
422234,2017-11,"64,019","23,687"
422239,2017-11,"55,982","20,714"
422278,2017-11,"229,690","84,985"
422298,2017-11,"24,980","9,243"
422332,2017-11,"111,061","41,093"
422336,2017-11,"284,640","105,317"
422350,2017-11,"125,781","46,539"
422431,2017-11,"115,019","42,557"
422442,2017-11,"384,672","142,329"
422447,2017-11,"444,600","164,502"
422459,2017-11,"17,219","6,371"
422460,2017-11,"13,595","5,030"
422466,2017-11,"22,027","8,150"
422504,2017-11,"144,316","53,397"
422507,2017-11,"57,936","21,436"
422525,2017-11,"19,498","7,214"
422570,2017-11,"190,379","70,440"
422655,2017-11,"38,172","14,124"
422658,2017-11,"19,377","7,170"
422764,2017-11,"156,514","57,910"
422777,2017-11,"29,279","10,833"
422781,2017-11,"24,733","9,151"
422785,2017-11,"35,003","12,951"
422792,2017-11,"30,257","11,195"
422796,2017-11,"54,836","20,289"
422817,2017-11,"64,711","23,943"
422944,2017-11,"108,499","40,145"
422954,2017-11,"42,875","15,864"
422978,2017-11,"84,111","31,121"
422992,2017-11,"207,026","76,599"
423000,2017-11,"248,974","92,121"
423036,2017-11,"33,977","12,572"
423096,2017-11,"153,021","56,618"
423203,2017-11,"83,218","30,791"
423224,2017-11,"165,362","61,184"
423372,2017-11,"257,634","95,325"
423379,2017-11,"831,093","307,505"
423390,2017-11,"93,675","34,660"
423402,2017-11,"334,159","123,639"
423413,2017-11,"564,527","208,875"
423492,2017-11,"414,214","153,259"
423536,2017-11,"258,594","95,680"
423542,2017-11,"102,017","37,746"
423571,2017-11,"202,454","74,908"
423634,2017-11,"198,188","73,330"
423754,2017-11,"238,407","88,211"
423775,2017-11,"67,005","24,792"
423784,2017-11,"247,680","91,642"
423829,2017-11,"192,784","71,330"
423977,2017-11,"78,092","28,894"
423993,2017-11,"64,239","23,769"
424057,2017-11,"205,197","75,923"
