PRODUCERS,,,,,Summary to Date,,,,,,,,
License Number,Reporting Period, Total Sales, Excise Tax Due ,,,Sales,,,,Excise Tax Due,,,
422012,9/1/2016 - 9/30/2016,"$61,876 ","$22,894 ",,,,,,,,,,
420336,9/1/2016 - 9/30/2016,"$43,300 ","$16,021 ",,,,,,,,,,
414520,9/1/2016 - 9/30/2016,"$813,161 ","$300,869 ",,,,,,,,,,
416102,9/1/2016 - 9/30/2016,"$119,219 ","$44,111 ",,,,,,,,,,
415509,9/1/2016 - 9/30/2016,"$120,969 ","$44,759 ",,,,,,,,,,
417880,9/1/2016 - 9/30/2016,"$60,797 ","$22,495 ",,,,,,,,,,
420741,9/1/2016 - 9/30/2016,$27 ,$10 ,,,,,,,,,,
415425,9/1/2016 - 9/30/2016,"$118,663 ","$43,905 ",,,,,,,,,,
415406,9/1/2016 - 9/30/2016,"$120,789 ","$44,692 ",,,,,,,,,,
415216,9/1/2016 - 9/30/2016,"$204,438 ","$75,642 ",,,,,,,,,,
415222,9/1/2016 - 9/30/2016,"$114,164 ","$42,241 ",,,,,,,,,,
414243,9/1/2016 - 9/30/2016,"$168,970 ","$62,519 ",,,,,,,,,,
414823,9/1/2016 - 9/30/2016,"$299,441 ","$110,793 ",,,,,,,,,,
413544,9/1/2016 - 9/30/2016,"$262,747 ","$97,216 ",,,,,,,,,,
422278,9/1/2016 - 9/30/2016,"$215,542 ","$79,750 ",,,,,,,,,,
412370,9/1/2016 - 9/30/2016,"$364,069 ","$134,706 ",,,,,,,,,,
414963,9/1/2016 - 9/30/2016,"$264,193 ","$97,751 ",,,,,,,,,,
415429,9/1/2016 - 9/30/2016,"$165,205 ","$61,126 ",,,,,,,,,,
420497,9/1/2016 - 9/30/2016,"$66,473 ","$24,595 ",,,,,,,,,,
422442,9/1/2016 - 9/30/2016,"$223,672 ","$82,759 ",,,,,,,,,,
414876,9/1/2016 - 9/30/2016,"$1,393,531 ","$515,606 ",,,,,,,,,,
421805,9/1/2016 - 9/30/2016,"$493,121 ","$182,455 ",,,,,,,,,,
421789,9/1/2016 - 9/30/2016,"$240,802 ","$89,097 ",,,,,,,,,,
413414,9/1/2016 - 9/30/2016,"$149,047 ","$55,148 ",,,,,,,,,,
414893,9/1/2016 - 9/30/2016,"$185,555 ","$68,655 ",,,,,,,,,,
422298,9/1/2016 - 9/30/2016,"$34,066 ","$12,604 ",,,,,,,,,,
421632,9/1/2016 - 9/30/2016,"$13,997 ","$5,179 ",,,,,,,,,,
419640,9/1/2016 - 9/30/2016,"$120,089 ","$44,433 ",,,,,,,,,,
420889,9/1/2016 - 9/30/2016,"$103,535 ","$38,308 ",,,,,,,,,,
415652,9/1/2016 - 9/30/2016,"$313,688 ","$116,065 ",,,,,,,,,,
414864,9/1/2016 - 9/30/2016,"$202,295 ","$74,849 ",,,,,,,,,,
422158,9/1/2016 - 9/30/2016,"$121,568 ","$44,980 ",,,,,,,,,,
415037,9/1/2016 - 9/30/2016,"$380,139 ","$140,652 ",,,,,,,,,,
415325,9/1/2016 - 9/30/2016,"$89,517 ","$33,121 ",,,,,,,,,,
414250,9/1/2016 - 9/30/2016,"$117,868 ","$43,611 ",,,,,,,,,,
415001,9/1/2016 - 9/30/2016,"$246,600 ","$91,242 ",,,,,,,,,,
414735,9/1/2016 - 9/30/2016,"$93,033 ","$34,422 ",,,,,,,,,,
415314,9/1/2016 - 9/30/2016,"$110,831 ","$41,007 ",,,,,,,,,,
413980,9/1/2016 - 9/30/2016,"$447,418 ","$165,545 ",,,,,,,,,,
415206,9/1/2016 - 9/30/2016,"$29,105 ","$10,769 ",,,,,,,,,,
413930,9/1/2016 - 9/30/2016,"$69,100 ","$25,567 ",,,,,,,,,,
423390,9/1/2016 - 9/30/2016,"$70,987 ","$26,265 ",,,,,,,,,,
414181,9/1/2016 - 9/30/2016,"$110,936 ","$41,046 ",,,,,,,,,,
413732,9/1/2016 - 9/30/2016,"$444,357 ","$164,412 ",,,,,,,,,,
415658,9/1/2016 - 9/30/2016,"$358,168 ","$132,522 ",,,,,,,,,,
422507,9/1/2016 - 9/30/2016,"$23,181 ","$8,577 ",,,,,,,,,,
413407,9/1/2016 - 9/30/2016,"$95,171 ","$35,213 ",,,,,,,,,,
423492,9/1/2016 - 9/30/2016,"$141,795 ","$52,464 ",,,,,,,,,,
421490,9/1/2016 - 9/30/2016,"$131,447 ","$48,635 ",,,,,,,,,,
414345,9/1/2016 - 9/30/2016,"$73,079 ","$27,039 ",,,,,,,,,,
413372,9/1/2016 - 9/30/2016,"$356,994 ","$132,088 ",,,,,,,,,,
413551,9/1/2016 - 9/30/2016,"$174,456 ","$64,549 ",,,,,,,,,,
421417,9/1/2016 - 9/30/2016,"$197,514 ","$73,080 ",,,,,,,,,,
415348,9/1/2016 - 9/30/2016,"$189,737 ","$70,203 ",,,,,,,,,,
410831,9/1/2016 - 9/30/2016,"$229,495 ","$84,913 ",,,,,,,,,,
422138,9/1/2016 - 9/30/2016,"$103,619 ","$38,339 ",,,,,,,,,,
414656,9/1/2016 - 9/30/2016,"$181,798 ","$67,265 ",,,,,,,,,,
414712,9/1/2016 - 9/30/2016,"$33,723 ","$12,478 ",,,,,,,,,,
414812,9/1/2016 - 9/30/2016,"$261,917 ","$96,909 ",,,,,,,,,,
423536,9/1/2016 - 9/30/2016,"$106,947 ","$39,570 ",,,,,,,,,,
413809,9/1/2016 - 9/30/2016,"$222,943 ","$82,489 ",,,,,,,,,,
79013,9/1/2016 - 9/30/2016,"$125,762 ","$46,532 ",,,,,,,,,,
420819,9/1/2016 - 9/30/2016,"$167,616 ","$62,018 ",,,,,,,,,,
415229,9/1/2016 - 9/30/2016,"$403,418 ","$149,265 ",,,,,,,,,,
422109,9/1/2016 - 9/30/2016,"$168,177 ","$62,225 ",,,,,,,,,,
414680,9/1/2016 - 9/30/2016,"$169,443 ","$62,694 ",,,,,,,,,,
413479,9/1/2016 - 9/30/2016,"$219,387 ","$81,173 ",,,,,,,,,,
421876,9/1/2016 - 9/30/2016,"$156,637 ","$57,956 ",,,,,,,,,,
414723,9/1/2016 - 9/30/2016,"$334,927 ","$123,923 ",,,,,,,,,,
414500,9/1/2016 - 9/30/2016,"$174,525 ","$64,574 ",,,,,,,,,,
404933,9/1/2016 - 9/30/2016,"$146,634 ","$54,255 ",,,,,,,,,,
414460,9/1/2016 - 9/30/2016,"$39,373 ","$14,568 ",,,,,,,,,,
415132,9/1/2016 - 9/30/2016,"$328,703 ","$121,620 ",,,,,,,,,,
413692,9/1/2016 - 9/30/2016,"$289,619 ","$107,159 ",,,,,,,,,,
414740,9/1/2016 - 9/30/2016,"$136,497 ","$50,504 ",,,,,,,,,,
413739,9/1/2016 - 9/30/2016,"$661,202 ","$244,645 ",,,,,,,,,,
417114,9/1/2016 - 9/30/2016,"$299,891 ","$110,960 ",,,,,,,,,,
414664,9/1/2016 - 9/30/2016,"$628,852 ","$232,675 ",,,,,,,,,,
412066,9/1/2016 - 9/30/2016,"$76,147 ","$28,174 ",,,,,,,,,,
353260,9/1/2016 - 9/30/2016,"$100,070 ","$37,026 ",,,,,,,,,,
414780,9/1/2016 - 9/30/2016,"$287,216 ","$106,270 ",,,,,,,,,,
414731,9/1/2016 - 9/30/2016,"$382,236 ","$141,427 ",,,,,,,,,,
413519,9/1/2016 - 9/30/2016,"$179,818 ","$66,533 ",,,,,,,,,,
413994,9/1/2016 - 9/30/2016,"$73,424 ","$27,167 ",,,,,,,,,,
422350,9/1/2016 - 9/30/2016,"$138,532 ","$51,257 ",,,,,,,,,,
414101,9/1/2016 - 9/30/2016,"$206,730 ","$76,490 ",,,,,,,,,,
413762,9/1/2016 - 9/30/2016,"$267,971 ","$99,149 ",,,,,,,,,,
414223,9/1/2016 - 9/30/2016,"$164,935 ","$61,026 ",,,,,,,,,,
422146,9/1/2016 - 9/30/2016,"$395,971 ","$146,509 ",,,,,,,,,,
421695,9/1/2016 - 9/30/2016,"$114,150 ","$42,236 ",,,,,,,,,,
414160,9/1/2016 - 9/30/2016,"$113,397 ","$41,957 ",,,,,,,,,,
414532,9/1/2016 - 9/30/2016,"$432,852 ","$160,155 ",,,,,,,,,,
413596,9/1/2016 - 9/30/2016,"$389,504 ","$144,116 ",,,,,,,,,,
421326,9/1/2016 - 9/30/2016,"$88,350 ","$32,689 ",,,,,,,,,,
413847,9/1/2016 - 9/30/2016,"$105,920 ","$39,190 ",,,,,,,,,,
415523,9/1/2016 - 9/30/2016,"$89,891 ","$33,260 ",,,,,,,,,,
413385,9/1/2016 - 9/30/2016,"$32,868 ","$12,161 ",,,,,,,,,,
422460,9/1/2016 - 9/30/2016,"$13,405 ","$4,960 ",,,,,,,,,,
422336,9/1/2016 - 9/30/2016,"$28,351 ","$10,490 ",,,,,,,,,,
414002,9/1/2016 - 9/30/2016,"$115,539 ","$42,749 ",,,,,,,,,,
415198,9/1/2016 - 9/30/2016,"$209,679 ","$77,581 ",,,,,,,,,,
421335,9/1/2016 - 9/30/2016,"$88,632 ","$32,794 ",,,,,,,,,,
421069,9/1/2016 - 9/30/2016,"$124,753 ","$46,159 ",,,,,,,,,,
415645,9/1/2016 - 9/30/2016,"$189,671 ","$70,178 ",,,,,,,,,,
413426,9/1/2016 - 9/30/2016,"$223,675 ","$82,760 ",,,,,,,,,,
413897,9/1/2016 - 9/30/2016,"$102,963 ","$38,096 ",,,,,,,,,,
423372,9/1/2016 - 9/30/2016,"$148,747 ","$55,036 ",,,,,,,,,,
413791,9/1/2016 - 9/30/2016,"$499,273 ","$184,731 ",,,,,,,,,,
414714,9/1/2016 - 9/30/2016,"$720,257 ","$266,495 ",,,,,,,,,,
400772,9/1/2016 - 9/30/2016,"$60,850 ","$22,515 ",,,,,,,,,,
413258,9/1/2016 - 9/30/2016,"$509,257 ","$188,425 ",,,,,,,,,,
413420,9/1/2016 - 9/30/2016,"$429,390 ","$158,874 ",,,,,,,,,,
415410,9/1/2016 - 9/30/2016,"$275,382 ","$101,891 ",,,,,,,,,,
413357,9/1/2016 - 9/30/2016,"$173,727 ","$64,279 ",,,,,,,,,,
412490,9/1/2016 - 9/30/2016,"$421,638 ","$156,006 ",,,,,,,,,,
412495,9/1/2016 - 9/30/2016,"$128,751 ","$47,638 ",,,,,,,,,,
414958,9/1/2016 - 9/30/2016,"$195,925 ","$72,492 ",,,,,,,,,,
420934,9/1/2016 - 9/30/2016,"$78,676 ","$29,110 ",,,,,,,,,,
413600,9/1/2016 - 9/30/2016,"$110,249 ","$40,792 ",,,,,,,,,,
413481,9/1/2016 - 9/30/2016,"$202,979 ","$75,102 ",,,,,,,,,,
415484,9/1/2016 - 9/30/2016,"$74,285 ","$27,485 ",,,,,,,,,,
423634,9/1/2016 - 9/30/2016,"$103,896 ","$38,442 ",,,,,,,,,,
84045,9/1/2016 - 9/30/2016,"$687,878 ","$254,515 ",,,,,,,,,,
413848,9/1/2016 - 9/30/2016,"$516,627 ","$191,152 ",,,,,,,,,,
412921,9/1/2016 - 9/30/2016,"$198,917 ","$73,599 ",,,,,,,,,,
420800,9/1/2016 - 9/30/2016,"$30,399 ","$11,248 ",,,,,,,,,,
413677,9/1/2016 - 9/30/2016,"$113,989 ","$42,176 ",,,,,,,,,,
414065,9/1/2016 - 9/30/2016,"$181,058 ","$66,992 ",,,,,,,,,,
420801,9/1/2016 - 9/30/2016,"$147,556 ","$54,596 ",,,,,,,,,,
415507,9/1/2016 - 9/30/2016,"$172,609 ","$63,865 ",,,,,,,,,,
415513,9/1/2016 - 9/30/2016,"$114,009 ","$42,183 ",,,,,,,,,,
415517,9/1/2016 - 9/30/2016,"$254,203 ","$94,055 ",,,,,,,,,,
414539,9/1/2016 - 9/30/2016,"$4,660 ","$1,724 ",,,,,,,,,,
414983,9/1/2016 - 9/30/2016,"$404,319 ","$149,598 ",,,,,,,,,,
413870,9/1/2016 - 9/30/2016,"$140,798 ","$52,095 ",,,,,,,,,,
414216,9/1/2016 - 9/30/2016,"$25,691 ","$9,506 ",,,,,,,,,,
415343,9/1/2016 - 9/30/2016,"$102,272 ","$37,841 ",,,,,,,,,,
413773,9/1/2016 - 9/30/2016,"$472,970 ","$174,999 ",,,,,,,,,,
412494,9/1/2016 - 9/30/2016,"$626,512 ","$231,809 ",,,,,,,,,,
414716,9/1/2016 - 9/30/2016,"$330,312 ","$122,216 ",,,,,,,,,,
413926,9/1/2016 - 9/30/2016,"$46,859 ","$17,338 ",,,,,,,,,,
414829,9/1/2016 - 9/30/2016,"$368,285 ","$136,265 ",,,,,,,,,,
415115,9/1/2016 - 9/30/2016,"$153,019 ","$56,617 ",,,,,,,,,,
415183,9/1/2016 - 9/30/2016,"$184,921 ","$68,421 ",,,,,,,,,,
400209,9/1/2016 - 9/30/2016,"$84,715 ","$31,345 ",,,,,,,,,,
417486,9/1/2016 - 9/30/2016,"$51,846 ","$19,183 ",,,,,,,,,,
414256,9/1/2016 - 9/30/2016,"$145,822 ","$53,954 ",,,,,,,,,,
417469,9/1/2016 - 9/30/2016,"$56,792 ","$21,013 ",,,,,,,,,,
413369,9/1/2016 - 9/30/2016,"$657,038 ","$243,104 ",,,,,,,,,,
414871,9/1/2016 - 9/30/2016,"$254,499 ","$94,165 ",,,,,,,,,,
414533,9/1/2016 - 9/30/2016,"$1,262,365 ","$467,075 ",,,,,,,,,,
421514,9/1/2016 - 9/30/2016,"$33,716 ","$12,475 ",,,,,,,,,,
415010,9/1/2016 - 9/30/2016,"$443,912 ","$164,248 ",,,,,,,,,,
415534,9/1/2016 - 9/30/2016,"$53,680 ","$19,862 ",,,,,,,,,,
415445,9/1/2016 - 9/30/2016,"$79,918 ","$29,570 ",,,,,,,,,,
415641,9/1/2016 - 9/30/2016,"$208,660 ","$77,204 ",,,,,,,,,,
414011,9/1/2016 - 9/30/2016,"$379,530 ","$140,426 ",,,,,,,,,,
415148,9/1/2016 - 9/30/2016,"$80,574 ","$29,812 ",,,,,,,,,,
414995,9/1/2016 - 9/30/2016,"$188,095 ","$69,595 ",,,,,,,,,,
414868,9/1/2016 - 9/30/2016,"$442,588 ","$163,757 ",,,,,,,,,,
412466,9/1/2016 - 9/30/2016,"$102,733 ","$38,011 ",,,,,,,,,,
417511,9/1/2016 - 9/30/2016,"$101,063 ","$37,393 ",,,,,,,,,,
414398,9/1/2016 - 9/30/2016,"$351,513 ","$130,060 ",,,,,,,,,,
414959,9/1/2016 - 9/30/2016,"$26,317 ","$9,737 ",,,,,,,,,,
414449,9/1/2016 - 9/30/2016,"$743,858 ","$275,228 ",,,,,,,,,,
421568,9/1/2016 - 9/30/2016,"$20,208 ","$7,477 ",,,,,,,,,,
415488,9/1/2016 - 9/30/2016,"$190,293 ","$70,409 ",,,,,,,,,,
RETAILERS PERIOD TOTAL,9/1/2016 - 9/30/2016,"$70,902,933 ","$26,234,085 ",,,,,,,,,,
414884,10/1/2016 - 10/31/2016,"$244,771 ","$90,565 ",,,,,,,,,,
423413,10/1/2016 - 10/31/2016,"$432,579 ","$160,054 ",,,,,,,,,,
415470,10/1/2016 - 10/31/2016,"$306,306 ","$113,333 ",,,,,,,,,,
413314,10/1/2016 - 10/31/2016,"$218,154 ","$80,717 ",,,,,,,,,,
423775,10/1/2016 - 10/31/2016,"$16,323 ","$6,040 ",,,,,,,,,,
84154,10/1/2016 - 10/31/2016,"$275,246 ","$101,841 ",,,,,,,,,,
423784,10/1/2016 - 10/31/2016,"$184,191 ","$68,151 ",,,,,,,,,,
413310,10/1/2016 - 10/31/2016,"$13,177 ","$4,876 ",,,,,,,,,,
415083,10/1/2016 - 10/31/2016,"$735,738 ","$272,223 ",,,,,,,,,,
415526,10/1/2016 - 10/31/2016,"$263,519 ","$97,502 ",,,,,,,,,,
414550,10/1/2016 - 10/31/2016,"$159,202 ","$58,905 ",,,,,,,,,,
414733,10/1/2016 - 10/31/2016,"$342,075 ","$126,568 ",,,,,,,,,,
413586,10/1/2016 - 10/31/2016,"$139,281 ","$51,534 ",,,,,,,,,,
413700,10/1/2016 - 10/31/2016,"$43,334 ","$16,033 ",,,,,,,,,,
421562,10/1/2016 - 10/31/2016,"$242,702 ","$89,800 ",,,,,,,,,,
421757,10/1/2016 - 10/31/2016,"$101,055 ","$37,390 ",,,,,,,,,,
421491,10/1/2016 - 10/31/2016,"$105,418 ","$39,005 ",,,,,,,,,,
413821,10/1/2016 - 10/31/2016,"$88,531 ","$32,756 ",,,,,,,,,,
402107,10/1/2016 - 10/31/2016,"$22,202 ","$8,215 ",,,,,,,,,,
414225,10/1/2016 - 10/31/2016,"$240,392 ","$88,945 ",,,,,,,,,,
410332,10/1/2016 - 10/31/2016,"$302,783 ","$112,030 ",,,,,,,,,,
421652,10/1/2016 - 10/31/2016,"$53,082 ","$19,640 ",,,,,,,,,,
421110,10/1/2016 - 10/31/2016,"$136,208 ","$50,397 ",,,,,,,,,,
422447,10/1/2016 - 10/31/2016,"$98,230 ","$36,345 ",,,,,,,,,,
413530,10/1/2016 - 10/31/2016,"$44,810 ","$16,580 ",,,,,,,,,,
414558,10/1/2016 - 10/31/2016,"$29,256 ","$10,825 ",,,,,,,,,,
420478,10/1/2016 - 10/31/2016,"$95,933 ","$35,495 ",,,,,,,,,,
415253,10/1/2016 - 10/31/2016,"$722,379 ","$267,280 ",,,,,,,,,,
421709,10/1/2016 - 10/31/2016,"$63,173 ","$23,374 ",,,,,,,,,,
422202,10/1/2016 - 10/31/2016,"$42,260 ","$15,636 ",,,,,,,,,,
413802,10/1/2016 - 10/31/2016,"$122,262 ","$45,237 ",,,,,,,,,,
421568,10/1/2016 - 10/31/2016,"$33,113 ","$12,252 ",,,,,,,,,,
415504,10/1/2016 - 10/31/2016,"$692,186 ","$256,109 ",,,,,,,,,,
415361,10/1/2016 - 10/31/2016,"$80,862 ","$29,919 ",,,,,,,,,,
410831,10/1/2016 - 10/31/2016,"$257,532 ","$95,287 ",,,,,,,,,,
413901,10/1/2016 - 10/31/2016,"$166,255 ","$61,514 ",,,,,,,,,,
415203,10/1/2016 - 10/31/2016,"$264,562 ","$97,888 ",,,,,,,,,,
413893,10/1/2016 - 10/31/2016,"$307,403 ","$113,739 ",,,,,,,,,,
420661,10/1/2016 - 10/31/2016,"$87,863 ","$32,509 ",,,,,,,,,,
421005,10/1/2016 - 10/31/2016,"$171,096 ","$63,306 ",,,,,,,,,,
414211,10/1/2016 - 10/31/2016,"$418,723 ","$154,927 ",,,,,,,,,,
360307,10/1/2016 - 10/31/2016,"$515,549 ","$190,753 ",,,,,,,,,,
415567,10/1/2016 - 10/31/2016,"$209,932 ","$77,675 ",,,,,,,,,,
422944,10/1/2016 - 10/31/2016,"$201,123 ","$74,415 ",,,,,,,,,,
413319,10/1/2016 - 10/31/2016,"$301,799 ","$111,666 ",,,,,,,,,,
420123,10/1/2016 - 10/31/2016,"$65,000 ","$24,050 ",,,,,,,,,,
414970,10/1/2016 - 10/31/2016,"$202,785 ","$75,031 ",,,,,,,,,,
421083,10/1/2016 - 10/31/2016,"$62,284 ","$23,045 ",,,,,,,,,,
421630,10/1/2016 - 10/31/2016,"$60,333 ","$22,323 ",,,,,,,,,,
422570,10/1/2016 - 10/31/2016,"$84,278 ","$31,183 ",,,,,,,,,,
402780,10/1/2016 - 10/31/2016,"$52,747 ","$19,516 ",,,,,,,,,,
415575,10/1/2016 - 10/31/2016,"$172,417 ","$63,794 ",,,,,,,,,,
413366,10/1/2016 - 10/31/2016,"$160,697 ","$59,458 ",,,,,,,,,,
414060,10/1/2016 - 10/31/2016,"$248,010 ","$91,764 ",,,,,,,,,,
421813,10/1/2016 - 10/31/2016,"$73,971 ","$27,369 ",,,,,,,,,,
415094,10/1/2016 - 10/31/2016,"$355,428 ","$131,508 ",,,,,,,,,,
413819,10/1/2016 - 10/31/2016,"$467,229 ","$172,875 ",,,,,,,,,,
413492,10/1/2016 - 10/31/2016,"$83,979 ","$31,072 ",,,,,,,,,,
414817,10/1/2016 - 10/31/2016,"$567,177 ","$209,855 ",,,,,,,,,,
413940,10/1/2016 - 10/31/2016,"$330,569 ","$122,311 ",,,,,,,,,,
413358,10/1/2016 - 10/31/2016,"$1,156,148 ","$427,775 ",,,,,,,,,,
413803,10/1/2016 - 10/31/2016,"$303,214 ","$112,189 ",,,,,,,,,,
414491,10/1/2016 - 10/31/2016,"$385,084 ","$142,481 ",,,,,,,,,,
413729,10/1/2016 - 10/31/2016,"$116,063 ","$42,943 ",,,,,,,,,,
422234,10/1/2016 - 10/31/2016,"$41,297 ","$15,280 ",,,,,,,,,,
422097,10/1/2016 - 10/31/2016,"$17,696 ","$6,547 ",,,,,,,,,,
413529,10/1/2016 - 10/31/2016,"$52,385 ","$19,382 ",,,,,,,,,,
423571,10/1/2016 - 10/31/2016,"$98,776 ","$36,547 ",,,,,,,,,,
414503,10/1/2016 - 10/31/2016,"$351,997 ","$130,239 ",,,,,,,,,,
413374,10/1/2016 - 10/31/2016,"$273,149 ","$101,065 ",,,,,,,,,,
423754,10/1/2016 - 10/31/2016,"$36,396 ","$13,466 ",,,,,,,,,,
423036,10/1/2016 - 10/31/2016,"$16,714 ","$6,184 ",,,,,,,,,,
421332,10/1/2016 - 10/31/2016,"$46,926 ","$17,363 ",,,,,,,,,,
414174,10/1/2016 - 10/31/2016,"$328,687 ","$121,614 ",,,,,,,,,,
414569,10/1/2016 - 10/31/2016,"$280,278 ","$103,703 ",,,,,,,,,,
414841,10/1/2016 - 10/31/2016,"$449,999 ","$166,500 ",,,,,,,,,,
413363,10/1/2016 - 10/31/2016,"$464,214 ","$171,759 ",,,,,,,,,,
414495,10/1/2016 - 10/31/2016,"$155,789 ","$57,642 ",,,,,,,,,,
84130,10/1/2016 - 10/31/2016,"$28,450 ","$10,527 ",,,,,,,,,,
415064,10/1/2016 - 10/31/2016,"$58,655 ","$21,702 ",,,,,,,,,,
414714,10/1/2016 - 10/31/2016,"$724,501 ","$268,065 ",,,,,,,,,,
415211,10/1/2016 - 10/31/2016,"$222,847 ","$82,454 ",,,,,,,,,,
414280,10/1/2016 - 10/31/2016,"$180,665 ","$66,846 ",,,,,,,,,,
421708,10/1/2016 - 10/31/2016,"$232,572 ","$86,052 ",,,,,,,,,,
415031,10/1/2016 - 10/31/2016,"$208,495 ","$77,143 ",,,,,,,,,,
412922,10/1/2016 - 10/31/2016,"$160,057 ","$59,221 ",,,,,,,,,,
413558,10/1/2016 - 10/31/2016,"$628,300 ","$232,471 ",,,,,,,,,,
415539,10/1/2016 - 10/31/2016,"$32,978 ","$12,202 ",,,,,,,,,,
422168,10/1/2016 - 10/31/2016,"$68,189 ","$25,230 ",,,,,,,,,,
414292,10/1/2016 - 10/31/2016,"$65,031 ","$24,061 ",,,,,,,,,,
415294,10/1/2016 - 10/31/2016,"$46,669 ","$17,267 ",,,,,,,,,,
414785,10/1/2016 - 10/31/2016,"$174,327 ","$64,501 ",,,,,,,,,,
413737,10/1/2016 - 10/31/2016,"$223,291 ","$82,618 ",,,,,,,,,,
412923,10/1/2016 - 10/31/2016,"$621,537 ","$229,969 ",,,,,,,,,,
414450,10/1/2016 - 10/31/2016,"$18,850 ","$6,975 ",,,,,,,,,,
350641,10/1/2016 - 10/31/2016,"$22,013 ","$8,145 ",,,,,,,,,,
414108,10/1/2016 - 10/31/2016,$175 ,$65 ,,,,,,,,,,
414761,10/1/2016 - 10/31/2016,"$97,869 ","$36,211 ",,,,,,,,,,
415130,10/1/2016 - 10/31/2016,"$240,747 ","$89,076 ",,,,,,,,,,
421667,10/1/2016 - 10/31/2016,"$21,700 ","$8,029 ",,,,,,,,,,
416540,10/1/2016 - 10/31/2016,"$200,731 ","$74,271 ",,,,,,,,,,
414918,10/1/2016 - 10/31/2016,"$78,909 ","$29,196 ",,,,,,,,,,
413886,10/1/2016 - 10/31/2016,"$244,084 ","$90,311 ",,,,,,,,,,
414755,10/1/2016 - 10/31/2016,"$103,364 ","$38,245 ",,,,,,,,,,
414573,10/1/2016 - 10/31/2016,"$41,902 ","$15,504 ",,,,,,,,,,
413798,10/1/2016 - 10/31/2016,"$80,114 ","$29,642 ",,,,,,,,,,
410798,10/1/2016 - 10/31/2016,"$228,276 ","$84,462 ",,,,,,,,,,
413801,10/1/2016 - 10/31/2016,"$47,390 ","$17,534 ",,,,,,,,,,
414417,10/1/2016 - 10/31/2016,"$599,332 ","$221,753 ",,,,,,,,,,
421759,10/1/2016 - 10/31/2016,"$130,770 ","$48,385 ",,,,,,,,,,
420793,10/1/2016 - 10/31/2016,"$93,474 ","$34,585 ",,,,,,,,,,
422572,10/1/2016 - 10/31/2016,"$696,651 ","$257,761 ",,,,,,,,,,
414356,10/1/2016 - 10/31/2016,"$226,757 ","$83,900 ",,,,,,,,,,
420898,10/1/2016 - 10/31/2016,"$72,294 ","$26,749 ",,,,,,,,,,
415112,10/1/2016 - 10/31/2016,"$706,523 ","$261,413 ",,,,,,,,,,
414295,10/1/2016 - 10/31/2016,"$895,916 ","$331,489 ",,,,,,,,,,
414298,10/1/2016 - 10/31/2016,"$109,122 ","$40,375 ",,,,,,,,,,
413541,10/1/2016 - 10/31/2016,"$177,487 ","$65,670 ",,,,,,,,,,
413428,10/1/2016 - 10/31/2016,"$38,260 ","$14,156 ",,,,,,,,,,
415124,10/1/2016 - 10/31/2016,"$65,869 ","$24,372 ",,,,,,,,,,
421900,10/1/2016 - 10/31/2016,"$212,931 ","$78,784 ",,,,,,,,,,
423379,10/1/2016 - 10/31/2016,"$487,175 ","$180,255 ",,,,,,,,,,
415333,10/1/2016 - 10/31/2016,"$609,031 ","$225,341 ",,,,,,,,,,
421409,10/1/2016 - 10/31/2016,"$232,429 ","$85,999 ",,,,,,,,,,
402039,10/1/2016 - 10/31/2016,"$330,016 ","$122,106 ",,,,,,,,,,
421918,10/1/2016 - 10/31/2016,"$27,343 ","$10,117 ",,,,,,,,,,
419759,10/1/2016 - 10/31/2016,"$86,442 ","$31,983 ",,,,,,,,,,
413702,10/1/2016 - 10/31/2016,"$54,106 ","$20,019 ",,,,,,,,,,
413683,10/1/2016 - 10/31/2016,"$521,382 ","$192,911 ",,,,,,,,,,
420291,10/1/2016 - 10/31/2016,"$486,182 ","$179,887 ",,,,,,,,,,
413570,10/1/2016 - 10/31/2016,"$343,209 ","$126,987 ",,,,,,,,,,
422431,10/1/2016 - 10/31/2016,"$175,612 ","$64,977 ",,,,,,,,,,
413550,10/1/2016 - 10/31/2016,"$272,544 ","$100,841 ",,,,,,,,,,
414430,10/1/2016 - 10/31/2016,"$213,147 ","$78,864 ",,,,,,,,,,
413534,10/1/2016 - 10/31/2016,"$180,681 ","$66,852 ",,,,,,,,,,
421702,10/1/2016 - 10/31/2016,"$446,598 ","$165,241 ",,,,,,,,,,
422218,10/1/2016 - 10/31/2016,"$753,097 ","$278,646 ",,,,,,,,,,
414889,10/1/2016 - 10/31/2016,"$613,911 ","$227,147 ",,,,,,,,,,
421350,10/1/2016 - 10/31/2016,"$11,916 ","$4,409 ",,,,,,,,,,
413843,10/1/2016 - 10/31/2016,"$239,179 ","$88,496 ",,,,,,,,,,
414750,10/1/2016 - 10/31/2016,"$120,233 ","$44,486 ",,,,,,,,,,
413727,10/1/2016 - 10/31/2016,"$109,325 ","$40,450 ",,,,,,,,,,
414867,10/1/2016 - 10/31/2016,"$701,761 ","$259,651 ",,,,,,,,,,
423203,10/1/2016 - 10/31/2016,"$85,031 ","$31,462 ",,,,,,,,,,
355804,10/1/2016 - 10/31/2016,$167 ,$62 ,,,,,,,,,,
417643,10/1/2016 - 10/31/2016,"$340,416 ","$125,954 ",,,,,,,,,,
421168,10/1/2016 - 10/31/2016,"$185,487 ","$68,630 ",,,,,,,,,,
422012,10/1/2016 - 10/31/2016,"$49,790 ","$18,422 ",,,,,,,,,,
