PRODUCERS,,,,,Summary to Date,,,,,,,,
License Number,Reporting Period, Total Sales, Excise Tax Due ,,,Sales,,,,Excise Tax Due,,,
412148,12/1/2014 - 12/31/2014,$0.14 ,$0.04 ,,,,,,,,,,
412273,12/1/2014 - 12/31/2014,$0.05 ,$0.01 ,,,,,,,,,,
412240,12/1/2014 - 12/31/2014,"$24,794 ","$6,199 ",,,,,,,,,,
416840,12/1/2014 - 12/31/2014,($1.00),($0.25),,,,,,,,,,
412516,12/1/2014 - 12/31/2014,$30 ,$8 ,,,,,,,,,,
412409,12/1/2014 - 12/31/2014,"$8,030 ","$2,008 ",,,,,,,,,,
412652,12/1/2014 - 12/31/2014,"$40,000 ","$10,000 ",,,,,,,,,,
412653,12/1/2014 - 12/31/2014,"$9,000 ","$2,250 ",,,,,,,,,,
415762,12/1/2014 - 12/31/2014,"$95,249 ","$23,812 ",,,,,,,,,,
412169,12/1/2014 - 12/31/2014,"$17,333 ","$4,333 ",,,,,,,,,,
417156,12/1/2014 - 12/31/2014,"$2,472 ",$618 ,,,,,,,,,,
412275,12/1/2014 - 12/31/2014,"$18,488 ","$4,622 ",,,,,,,,,,
412180,12/1/2014 - 12/31/2014,"$50,000 ","$12,500 ",,,,,,,,,,
416400,12/1/2014 - 12/31/2014,"$25,000 ","$6,250 ",,,,,,,,,,
412601,12/1/2014 - 12/31/2014,$11 ,$3 ,,,,,,,,,,
416548,12/1/2014 - 12/31/2014,$0.13 ,$0.03 ,,,,,,,,,,
412286,12/1/2014 - 12/31/2014,"($31,400)","($7,850)",,,,,,,,,,
414271,12/1/2014 - 12/31/2014,"$5,129 ","$1,282 ",,,,,,,,,,
412670,12/1/2014 - 12/31/2014,"$4,956 ","$1,239 ",,,,,,,,,,
412242,12/1/2014 - 12/31/2014,"$4,591 ","$1,148 ",,,,,,,,,,
416746,12/1/2014 - 12/31/2014,"$204,172 ","$51,043 ",,,,,,,,,,
417055,12/1/2014 - 12/31/2014,"$12,201 ","$3,050 ",,,,,,,,,,
413287,12/1/2014 - 12/31/2014,"$7,500 ","$1,875 ",,,,,,,,,,
413719,12/1/2014 - 12/31/2014,$1.00 ,$0.25 ,,,,,,,,,,
416562,12/1/2014 - 12/31/2014,"$4,550 ","$1,138 ",,,,,,,,,,
415725,12/1/2014 - 12/31/2014,"$7,919 ","$1,980 ",,,,,,,,,,
416063,12/1/2014 - 12/31/2014,"$1,200 ",$300 ,,,,,,,,,,
415680,12/1/2014 - 12/31/2014,$500 ,$125 ,,,,,,,,,,
413162,12/1/2014 - 12/31/2014,$0.02 ,$0.01 ,,,,,,,,,,
415726,12/1/2014 - 12/31/2014,$0.15 ,$0.04 ,,,,,,,,,,
412566,12/1/2014 - 12/31/2014,$40 ,$10 ,,,,,,,,,,
416539,12/1/2014 - 12/31/2014,"$2,898 ",$724 ,,,,,,,,,,
412815,12/1/2014 - 12/31/2014,"$3,457 ",$864 ,,,,,,,,,,
412200,12/1/2014 - 12/31/2014,"$1,020 ",$255 ,,,,,,,,,,
