scrape,wmsite,dateaccess,dispensaryname,address,city,zipcode
101,"http://weedmaps.com/deliveries/george-and-martha-s-home-grown","2015-11-22","George and Martha's Home Grown","DELIVERIES ONLY, Issaquah, WA 98027","Issaquah","98027"
127,"http://weedmaps.com/deliveries/george-and-martha-s-home-grown","2016-05-23","George and Martha's Home Grown","DELIVERY ONLY, Issaquah, WA 98027","Issaquah","98027"
101,"http://weedmaps.com/deliveries/green-fly","2015-11-22","GreenFly","None, DELIVERY ONLY, WA 98031","DELIVERY ONLY","98031"
127,"http://weedmaps.com/deliveries/green-legacy-fine-cannabis","2016-05-22","Green Legacy Fine Cannabis - Downtown/Hazel Dell","DELIVERY ONLY, Vancouver, WA 98660","Vancouver","98660"
127,"http://weedmaps.com/deliveries/green-legacy-fine-cannabis-2","2016-05-23","Green Legacy Fine Cannabis - Salmon Creek/Mt.Vista","DELIVERY ONLY, Vancouver, WA 98686","Vancouver","98686"
101,"http://weedmaps.com/deliveries/green-life-organics-bellevue","2015-11-22","Green Life Organics - Bellevue","989 112th Ave NE, Bellevue, Kirkland, Juanita, Bothell, Woodinville, Redmond, Sammamish, Duvall, Issaquah, Renton, Seattle, Kent, WA 98004","Bellevue, Kirkland, Juanita, Bothell, Woodinville, Redmond, Sammamish, Duvall, Issaquah, Renton, Seattle, Kent","98004"
101,"http://weedmaps.com/deliveries/green-life-organics-seattle","2015-11-22","Green Life Organics","DELIVERIES ONLY, Seattle, WA 98108","Seattle","98108"
127,"http://weedmaps.com/deliveries/green-queen-organic-horticulture","2016-05-22","Green Queen Organic Horticulture - Downtown","DELIVERY ONLY, Vancouver, Washington 98660","Vancouver","98660"
127,"http://weedmaps.com/deliveries/green-queen-organic-horticulture-2-2","2016-05-23","Green Queen Organic Horticulture - St. Johns","DELIVERY ONLY, Vancouver, Washington 98661","Vancouver","98661"
127,"http://weedmaps.com/deliveries/green-queen-organic-horticulture-2-3","2016-05-22","Green Queen Organic Horticulture - Camas/Cascade","DELIVERY ONLY, Vancouver, Washington 98684","Vancouver","98684"
127,"http://weedmaps.com/deliveries/green-queen-organic-horticulture-camas","2016-05-23","Green Queen Organic Horticulture - Hazel Dell/Lake Shore","DELIVERY ONLY, Vancouver, Washington 98665","Vancouver","98665"
